sip_property,description,units,type,valid_range,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
fw_mamm_out,fw_mamm_out,L,float,"[0,inf)",,,,,,,,,,
dose_bird_out,dose_bird_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,
dose_mamm_out,dose_mamm_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,
at_bird_out,at_bird_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,
at_mamm_out,at_mamm_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,
det_out,det_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,
act_out,act_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,
acute_bird_out,acute_bird_out,unitless,float,na,,,,,,,,,,
acuconb_out,acuconb_out,na,string,na,,,,,,,,,,
acute_mamm_out,acute_mamm_out,unitless,float,na,,,,,,,,,,
acuconm_out,acuconm_out,na,string,na,,,,,,,,,,
chron_bird_out,chron_bird_out,unitless,float,na,,,,,,,,,,
chronconb_out,chronconb_out,na,string,na,,,,,,,,,,
chron_mamm_out,chron_mamm_out,unitless,float,na,,,,,,,,,,
chronconm_out,chronconm_out,na,string,na,,,,,,,,,,
fw_bird_exp,fw_bird_exp,L,float,"[0,inf)",,,,,,,,,,
fw_mamm_exp,fw_mamm_exp,L,float,"[0,inf)",,,,,,,,,,
dose_bird_exp,dose_bird_exp,mg/kg-bw,float,"[0,inf)",28.35,0.6561,0.8505,48.6,0.2592,299.7,1053,119.88,162000,44.55
dose_mamm_exp,dose_mamm_exp,mg/kg-bw,float,"[0,inf)",6.02,0.1393,0.1806,10.32,0.055,63.64,223.6,25.456,34400,9.46
at_bird_exp,at_bird_exp,mg/kg-bw,float,"[0,inf)",3052.4599,25.3165,1.4944,0.7477,79.9677,112.3596,3.1361,258.6342,0.1266,117.3034
at_mamm_exp,at_mamm_exp,mg/kg-bw,float,"[0,inf)",1437.5611,3845.8028,49.2263,876.0739,29.2281,704.5511,25.3054,1367.5675,23.0748,2.3075
det_exp,det_exp,mg/kg-bw,float,"[0,inf)",11.1628,16.2636,1.2403,0.4118,1.4884,12.0062,0.1012,11.6928,0.3189,0.6665
act_exp,act_exp,mg/kg-bw,float,"[0,inf)",7.6916,2.3075,0.7692,3.8458,0.5769,12.5373,0.0769,26.4591,0.0769,0.0769
acute_bird_exp,acute_bird_exp,unitless,float,na,0.0093,0.0259,0.5691,65.0007,0.0032,2.6673,335.7651,0.4635,1279800,0.3798
acuconb_exp,acuconb_exp,na,string,na,Drinking water exposure alone is NOT a potential concern for birds,Drinking water exposure alone is NOT a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Drinking water exposure alone is NOT a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds
acute_mamm_exp,acute_mamm_exp,unitless,float,na,0.0042,0,0.0037,0.0118,0.0019,0.0903,8.8361,0.0186,1490.8027,4.0997
acuconm_exp,acuconm_exp,na,string,na,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals
chron_bird_exp,chron_bird_exp,unitless,float,na,2.5397,0.0403,0.6857,118.023,0.1741,24.962,10405.5495,10.2524,508004.2621,66.8427
chronconb_exp,chronconb_exp,na,string,na,Exposure through drinking water alone is a potential concern for birds,Drinking water exposure alone is NOT a potential concern for birds,Drinking water exposure alone is NOT a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Drinking water exposure alone is NOT a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds,Exposure through drinking water alone is a potential concern for birds
chron_mamm_exp,chron_mamm_exp,unitless,float,na,0.7827,0.0604,0.2348,2.6834,0.0954,5.076,2907.0653,0.9621,447240.8163,122.9912
chronconm_exp,chronconm_exp,na,string,na,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals,Drinking water exposure alone is NOT a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals,Exposure through drinking water alone is a potential concern for mammals
